C4,C3,P3,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
T4,,,,,,,,,,,,,,,
T4,C4,F8,C3,Cz,Pz,,,,,,,,,,
O1,O2,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
T4,T6,T3,F8,F4,O2,F7,C3,T5,,,,,,,
F3,T3,T5,F4,Cz,,,,,,,,,,,
F3,F8,P3,F4,C3,,,,,,,,,,,
F3,F4,T3,,,,,,,,,,,,,
T6,,,,,,,,,,,,,,,
P4,F3,C4,T3,T5,P3,F4,O2,F7,Cz,Pz,,,,,
T4,P4,F3,C4,T6,F8,F4,C3,Cz,,,,,,,
O2,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
T6,T5,,,,,,,,,,,,,,
Pz,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
P3,,,,,,,,,,,,,,,
T6,Cz,P3,T5,Pz,,,,,,,,,,,
C4,,,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,
T4,F3,C4,T6,O1,T5,P3,F4,F7,C3,Cz,Pz,,,,
F3,,,,,,,,,,,,,,,
F3,F8,F4,,,,,,,,,,,,,
T4,P4,F3,C4,T6,O1,T3,F8,T5,P3,F4,O2,F7,C3,Cz,Pz
F4,,,,,,,,,,,,,,,
T3,,,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
O1,O2,T6,,,,,,,,,,,,,
F4,T6,F8,P3,,,,,,,,,,,,
F3,O1,,,,,,,,,,,,,,
F3,F7,,,,,,,,,,,,,,
T6,,,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,
C4,T4,P4,O2,,,,,,,,,,,,
F3,T3,P3,O1,O2,F7,C3,T5,Pz,,,,,,,
F3,O2,C3,,,,,,,,,,,,,
C4,,,,,,,,,,,,,,,
F3,T3,Cz,P3,C3,T5,Pz,,,,,,,,,
F3,P3,,,,,,,,,,,,,,
P3,,,,,,,,,,,,,,,
Cz,,,,,,,,,,,,,,,
F3,C4,F7,,,,,,,,,,,,,
O2,P4,,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
O1,P3,P4,,,,,,,,,,,,,
F4,C4,,,,,,,,,,,,,,
P4,F3,C4,F8,F4,F7,,,,,,,,,,
P4,T6,T3,P3,T5,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
F7,C3,Cz,P4,,,,,,,,,,,,
C4,T6,P4,,,,,,,,,,,,,
F4,T3,,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
C4,T6,,,,,,,,,,,,,,
F7,T3,,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,
F3,F7,T5,F4,,,,,,,,,,,,
F4,T5,,,,,,,,,,,,,,
C4,,,,,,,,,,,,,,,
T4,P3,T3,,,,,,,,,,,,,
F3,T3,F8,F4,F7,C3,Cz,,,,,,,,,
P4,,,,,,,,,,,,,,,
T4,F3,F8,F4,F7,,,,,,,,,,,
